vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
302,CPI,ARAGON,25,,ARAGON 25,,2009,1,2-STROKE,"1,5 KW(2 PS)",EUROPE,SCOOTER,SCOOTER
303,CPI,SM,125,,SM 125,,2010,1,4-STROKE,"8,3 KW(11,3 PS)",EUROPE,MOTORBIKE,SUPERMOTO
304,CPI,GTR,180,,GTR 180,,2011,1,4-STROKE,"10 KW(13,6 PS)",EUROPE,SCOOTER,SCOOTER
305,DAELIM,VT,125,,VT 125,,1998,1,4-STROKE,"9 KW(12,2 PS)",EUROPE,MOTORBIKE,CRUISER
306,DAELIM,S2,125,F.I.,S2 125 F.I,Freewing,2010,1,4-STROKE,"8,2 KW(11,2 PS)",EUROPE,SCOOTER,SCOOTER
307,DAELIM,ROADWIN,250,R F.I.,ROADWIN 250 R F.I.,(Roadsport),2011,1,4-STROKE,17 KW(23 PS),EUROPE,MOTORBIKE,SPORTBIKE
308,DAELIM,YC,125,,YC 125,Aroma,2016,1,4-STROKE,"6,3 KW(8,5 PS)",EUROPE,SCOOTER,SCOOTER
309,DAELIM,QL,125,ABS,QL 125 ABS,Steezer,2016,1,4-STROKE,"9,3 KW(12,6 PS)",EUROPE,SCOOTER,SCOOTER
310,DAELIM,S3,125,ABS,S3 125 ABS,,2018,1,4-STROKE,"10 KW(13,6 PS)",EUROPE,SCOOTER,SCOOTER
311,DERBI,ATLANTIS,50,AC,ATLANTIS 50 AC,,1999,1,2-STROKE,"3,4 KW(4,6 PS)",EUROPE,SCOOTER,SCOOTER
312,DERBI,BOULEVARD,125,,BOULEVARD 125,,2003,1,4-STROKE,"8,1 KW(11 PS)",EUROPE,SCOOTER,SCOOTER
313,DERBI,DRX,250,4T,DRX 250 4T,,2006,2,4-STROKE,13 KW(17 PS),EUROPE,ATV,QUAD
314,DERBI,SENDA,125,SM,SENDA 125 SM,,2006,1,2-STROKE,"8,4 KW(11,4 PS)",EUROPE,MOTORBIKE,SUPERMOTO
315,DERBI,MULHACEN,659,,MULHACEN 659,,2007,1,4-STROKE,35 KW(48 PS),EUROPE,MOTORBIKE,SCRAMBLER
316,DERBI,SENDA,125,SM,SENDA 125 SM,Baja,2007,1,4-STROKE,"8,8 KW(12 PS)",EUROPE,MOTORBIKE,SUPERMOTO
317,DERBI,DRX,200,4T,DRX 200 4T,,2008,1,4-STROKE,"10 KW(13,6 PS)",EUROPE,ATV,QUAD
318,DERBI,SENDA,125,DRD SM 4V,SENDA 125 DRD SM 4V,,2009,1,4-STROKE,11 KW(15 PS),EUROPE,MOTORBIKE,SUPERMOTO
319,DERBI,SENDA,125,,SENDA 125,Terra,2009,1,4-STROKE,11 KW(15 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
